scenario,shield_mm_Al,dose_rate_mGy_day,calibration_domain_flag,interpretation_class,recommended_user_message
LEO_ISS_like,0.05,4965.666666666667,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
LEO_ISS_like,0.1,2530.388888888889,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
LEO_ISS_like,0.2,1002.6666666666666,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
LEO_ISS_like,0.3,507.15555555555557,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
LEO_ISS_like,0.4,303.18888888888887,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
LEO_ISS_like,0.5,201.88333333333333,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
LEO_ISS_like,0.6,146.0388888888889,outside_primary_validation_domain_high_dose_rate,severe_extrapolation_stress_test,"Dose rate is extremely high, representing severe extrapolation. Projections constitute a stress-test only; biological cells are not validated under these extreme rates."
LEO_ISS_like,0.8,92.47222222222221,outside_primary_validation_domain_high_dose_rate,moderate_extrapolation,Dose rate moderately exceeds primary validation anchors. Relies on high-dose model extrapolation.
LEO_ISS_like,1.0,67.06666666666666,outside_primary_validation_domain_high_dose_rate,moderate_extrapolation,Dose rate moderately exceeds primary validation anchors. Relies on high-dose model extrapolation.
LEO_ISS_like,1.5,37.887777777777785,outside_primary_validation_domain_high_dose_rate,moderate_extrapolation,Dose rate moderately exceeds primary validation anchors. Relies on high-dose model extrapolation.
LEO_ISS_like,2.0,24.712777777777774,outside_primary_validation_domain_high_dose_rate,moderate_extrapolation,Dose rate moderately exceeds primary validation anchors. Relies on high-dose model extrapolation.
LEO_ISS_like,2.5,16.95,outside_primary_validation_domain_high_dose_rate,moderate_extrapolation,Dose rate moderately exceeds primary validation anchors. Relies on high-dose model extrapolation.
LEO_ISS_like,3.0,11.877222222222223,outside_primary_validation_domain_high_dose_rate,moderate_extrapolation,Dose rate moderately exceeds primary validation anchors. Relies on high-dose model extrapolation.
LEO_ISS_like,4.0,6.346111111111111,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,5.0,3.768222222222222,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,6.0,2.578555555555556,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,7.0,2.0314444444444444,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,8.0,1.7732777777777777,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,9.0,1.6364999999999998,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,10.0,1.5521111111111112,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,12.0,1.4558333333333333,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,14.0,1.3539999999999999,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,16.0,1.275111111111111,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,18.0,1.1948333333333334,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
LEO_ISS_like,20.0,1.1252777777777778,near_primary_validation_domain,calibration_near_domain,Dose rate is within the primary biological validation domain of 0.1 to 10.0 mGy/day. Projections are anchored on chronic low-dose mouse neural data.
